nr,page_start,page_end,filename
133,449,449,0133_Table 301.1.3004.28.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste (MID=10) - Full Analysis Set.xlsx
134,450,450,0134_Table 301.1.3004.28.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Taste by Subgroups (MID=10) - Full Analysis Set.xlsx
135,451,451,0135_Table 301.1.3004.29.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image (MID=10) - Full Analysis Set.xlsx
136,452,452,0136_Table 301.1.3004.29.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Body Image by Subgroups (MID=10) - Full Analysis Set.xlsx
137,453,453,0137_Table 301.1.3004.30.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Swallowing Saliva (MID=10) - Full Analysis Set.xlsx
138,454,454,0138_Table 301.1.3004.30.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Swallowing Saliva by Subgroups (MID=10) - Full Analysis Set.xlsx
139,455,455,0139_Table 301.1.3004.31.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Choked When Swallowing Score (MID=10) - Full Analysis Set.xlsx
140,456,456,0140_Table 301.1.3004.31.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Choked When Swallowing Score by Subgroups (MID=10) - Full.xlsx
141,457,457,0141_Table 301.1.3004.32.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Coughing (MID=10) - Full Analysis Set.xlsx
142,458,458,0142_Table 301.1.3004.32.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble with Coughing by Subgroups (MID=10) - Full Analysis Set.xlsx
143,459,459,0143_Table 301.1.3004.33.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Talking (MID=10) - Full Analysis Set.xlsx
144,460,460,0144_Table 301.1.3004.33.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Trouble Talking by Subgroups (MID=10) - Full Analysis Set.xlsx
145,461,461,0145_Table 301.1.3004.34.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Weight Loss (MID=10) - Full Analysis Set.xlsx
146,462,462,0146_Table 301.1.3004.34.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Weight Loss by Subgroups (MID=10) - Full Analysis Set.xlsx
147,463,463,0147_Table 301.1.3004.35.1_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Hair Loss (MID=10) - Full Analysis Set.xlsx
148,464,464,0148_Table 301.1.3004.35.2_ EORTC QLQ-OG25 - Summary of Time to First Deterioration of Hair Loss by Subgroups (MID=10) - Full Analysis Set.xlsx
149,528,530,0149_Table 301.1.3001.4_ Global Pain - Completion Status of PI01 - Pain Intensity - Full Analysis Set.xlsx
150,532,535,0150_Table 301.1.3002.4_ Global Pain - Observed Means and Change from Baseline of PI01 - Pain Intensity - Full Analysis Set.xlsx
151,537,537,0151_Table 301.1.3004.4.1_ Global Pain - Summary of Time to First Deterioration of PI01 - Pain Intensity (MID=2) - Full Analysis Set.xlsx
152,538,538,0152_Table 301.1.3004.4.2_ Global Pain - Summary of Time to First Deterioration of PI01 - Pain Intensity by Subgroups (MID=2) - Full Analysis Set.xlsx
153,544,546,0153_Table 301.1.3001.3_ EQ-5D-5L - Completion Status of Visual Analog Scale - Full Analysis Set.xlsx
154,548,551,0154_Table 301.1.3002.3_ EQ-5D-5L - Observed Means and Change from Baseline of Visual Analog Scale - Full Analysis Set.xlsx
155,553,553,0155_Table 301.1.3004.3.1_ EQ-5D-5L - Summary of Time to First Deterioration of Visual Analog Scale (MID=15) - Full Analysis Set.xlsx
156,554,554,0156_Table 301.1.3004.3.2_ EQ-5D-5L - Summary of Time to First Deterioration of Visual Analog Scale by Subgroups (MID=15) - Full Analysis Set.xlsx
157,560,560,0157_Table 301.1.2001.1.1_ Summary and Results of TEAEs - Safety Analysis Set.xlsx
158,561,561,0158_Table 301.1.2001.1.2_ Summary and Results of TEAEs by Subgroups - Safety Analysis Set.xlsx
159,565,565,0159_Table 301.1.2001.3.1_ Summary and Results of Severe TEAEs - Safety Analysis Set.xlsx
160,566,566,0160_Table 301.1.2001.3.2_ Summary and Results of Severe TEAEs by Subgroups - Safety Analysis Set.xlsx
161,570,570,0161_Table 301.1.2001.4.1_ Summary and Results of TESAEs - Safety Analysis Set.xlsx
162,571,571,0162_Table 301.1.2001.4.2_ Summary and Results of TESAEs by Subgroups - Safety Analysis Set.xlsx
163,575,575,0163_Table 301.1.2001.5.1_ Summary and Results of Permanent Treatment Discontinuation due to TEAEs - Safety Analysis Set.xlsx
164,576,576,0164_Table 301.1.2001.5.2_ Summary and Results of Permanent Treatment Discontinuation due to TEAEs by Subgroups - Safety Analysis Set.xlsx
165,580,580,0165_Table 301.1.2001.6.1_ Summary and Results of TEAEs - Blood and Lymphatic System Disorders (SOC).xlsx
166,581,581,0166_Table 301.1.2001.7.1_ Summary and Results of TEAEs - Anaemia (PT).xlsx
167,582,582,0167_Table 301.1.2001.8.1_ Summary and Results of TEAEs - Leukopenia (PT).xlsx
168,583,583,0168_Table 301.1.2001.9.1_ Summary and Results of TEAEs - Neutropenia (PT).xlsx
169,584,584,0169_Table 301.1.2001.10.1_ Summary and Results of TEAEs - Thrombocytopenia (PT).xlsx
170,585,585,0170_Table 301.1.2001.10.2_ Summary and Results of TEAEs by Subgroups - Thrombocytopenia (PT).xlsx
171,586,586,0171_Table 301.1.2001.11.1_ Summary and Results of TEAEs - Cardiac Disorders (SOC).xlsx
172,587,587,0172_Table 301.1.2001.12.1_ Summary and Results of TEAEs - Palpitations (PT).xlsx
173,588,588,0173_Table 301.1.2001.13.1_ Summary and Results of TEAEs - Tachycardia (PT).xlsx
174,589,589,0174_Table 301.1.2001.13.2_ Summary and Results of TEAEs by Subgroups - Tachycardia (PT).xlsx
175,590,590,0175_Table 301.1.2001.14.1_ Summary and Results of TEAEs - Ear and Labyrinth Disorders (SOC).xlsx
176,591,591,0176_Table 301.1.2001.15.1_ Summary and Results of TEAEs - Tinnitus (PT).xlsx
177,592,592,0177_Table 301.1.2001.16.1_ Summary and Results of TEAEs - Endocrine Disorders (SOC).xlsx
178,593,593,0178_Table 301.1.2001.17.1_ Summary and Results of TEAEs - Eye Disorders (SOC).xlsx
179,594,594,0179_Table 301.1.2001.18.1_ Summary and Results of TEAEs - Dry Eye (PT).xlsx
180,595,595,0180_Table 301.1.2001.19.1_ Summary and Results of TEAEs - Gastrointestinal Disorders (SOC).xlsx
181,596,596,0181_Table 301.1.2001.19.2_ Summary and Results of TEAEs by Subgroups - Gastrointestinal Disorders (SOC).xlsx
182,597,597,0182_Table 301.1.2001.20.1_ Summary and Results of TEAEs - Abdominal Discomfort (PT).xlsx
183,598,598,0183_Table 301.1.2001.21.1_ Summary and Results of TEAEs - Abdominal Distension (PT).xlsx
184,599,599,0184_Table 301.1.2001.22.1_ Summary and Results of TEAEs - Abdominal Pain (PT).xlsx
185,600,600,0185_Table 301.1.2001.23.1_ Summary and Results of TEAEs - Abdominal Pain Upper (PT).xlsx
186,601,601,0186_Table 301.1.2001.24.1_ Summary and Results of TEAEs - Ascites (PT).xlsx
187,602,602,0187_Table 301.1.2001.25.1_ Summary and Results of TEAEs - Constipation (PT).xlsx
188,603,603,0188_Table 301.1.2001.26.1_ Summary and Results of TEAEs - Diarrhoea (PT).xlsx
189,604,604,0189_Table 301.1.2001.27.1_ Summary and Results of TEAEs - Dry Mouth (PT).xlsx
190,605,605,0190_Table 301.1.2001.28.1_ Summary and Results of TEAEs - Dyspepsia (PT).xlsx
191,606,606,0191_Table 301.1.2001.29.1_ Summary and Results of TEAEs - Dysphagia (PT).xlsx
192,607,607,0192_Table 301.1.2001.30.1_ Summary and Results of TEAEs - Flatulence (PT).xlsx
193,608,608,0193_Table 301.1.2001.31.1_ Summary and Results of TEAEs - Gastrooesophageal Reflux Disease (PT).xlsx
194,609,609,0194_Table 301.1.2001.32.1_ Summary and Results of TEAEs - Intestinal Obstruction (PT).xlsx
195,610,610,0195_Table 301.1.2001.33.1_ Summary and Results of TEAEs - Nausea (PT).xlsx
196,611,611,0196_Table 301.1.2001.33.2_ Summary and Results of TEAEs by Subgroups - Nausea (PT).xlsx
197,612,612,0197_Table 301.1.2001.34.1_ Summary and Results of TEAEs - Salivary Hypersecretion (PT).xlsx
198,613,613,0198_Table 301.1.2001.34.2_ Summary and Results of TEAEs by Subgroups - Salivary Hypersecretion (PT).xlsx
199,614,614,0199_Table 301.1.2001.35.1_ Summary and Results of TEAEs - Stomatitis (PT).xlsx
200,615,615,0200_Table 301.1.2001.36.1_ Summary and Results of TEAEs - Toothache (PT).xlsx
