nr,page_start,page_end,filename
631,1738,1741,0631_Table 301.3.3001.4_ Global Pain - Completion Status of PI01 - Pain Intensity - Full Analysis Set.xlsx
632,1743,1746,0632_Table 301.3.3002.4_ Global Pain - Observed Means and Change from Baseline of PI01 - Pain Intensity - Full Analysis Set.xlsx
633,1748,1748,0633_Table 301.3.3004.4.1_ Global Pain - Summary of Time to First Deterioration of PI01 - Pain Intensity (MID=2) - Full Analysis Set.xlsx
634,1749,1749,0634_Table 301.3.3004.4.2_ Global Pain - Summary of Time to First Deterioration of PI01 - Pain Intensity by Subgroups (MID=2) - Full Analysis Set.xlsx
635,1755,1758,0635_Table 301.3.3001.3_ EQ-5D-5L - Completion Status of Visual Analog Scale - Full Analysis Set.xlsx
636,1760,1763,0636_Table 301.3.3002.3_ EQ-5D-5L - Observed Means and Change from Baseline of Visual Analog Scale - Full Analysis Set.xlsx
637,1765,1765,0637_Table 301.3.3004.3.1_ EQ-5D-5L - Summary of Time to First Deterioration of Visual Analog Scale (MID=15) - Full Analysis Set.xlsx
638,1766,1766,0638_Table 301.3.3004.3.2_ EQ-5D-5L - Summary of Time to First Deterioration of Visual Analog Scale by Subgroups (MID=15) - Full Analysis Set.xlsx
639,1772,1772,0639_Table 301.3.2001.1.1_ Summary and Results of TEAEs - Safety Analysis Set.xlsx
640,1773,1773,0640_Table 301.3.2001.1.2_ Summary and Results of TEAEs by Subgroups - Safety Analysis Set.xlsx
641,1777,1777,0641_Table 301.3.2001.3.1_ Summary and Results of Severe TEAEs - Safety Analysis Set.xlsx
642,1778,1778,0642_Table 301.3.2001.3.2_ Summary and Results of Severe TEAEs by Subgroups - Safety Analysis Set.xlsx
643,1782,1782,0643_Table 301.3.2001.4.1_ Summary and Results of TESAEs - Safety Analysis Set.xlsx
644,1783,1783,0644_Table 301.3.2001.4.2_ Summary and Results of TESAEs by Subgroups - Safety Analysis Set.xlsx
645,1787,1787,0645_Table 301.3.2001.5.1_ Summary and Results of Permanent Treatment Discontinuation due to TEAEs - Safety Analysis Set.xlsx
646,1788,1788,0646_Table 301.3.2001.5.2_ Summary and Results of Permanent Treatment Discontinuation due to TEAEs by Subgroups - Safety Analysis Set.xlsx
647,1792,1792,0647_Table 301.3.2001.6.1_ Summary and Results of TEAEs - Blood and Lymphatic System Disorders (SOC).xlsx
648,1793,1793,0648_Table 301.3.2001.7.1_ Summary and Results of TEAEs - Anaemia (PT).xlsx
649,1794,1794,0649_Table 301.3.2001.8.1_ Summary and Results of TEAEs - Leukocytosis (PT).xlsx
650,1795,1795,0650_Table 301.3.2001.9.1_ Summary and Results of TEAEs - Leukopenia (PT).xlsx
651,1796,1796,0651_Table 301.3.2001.10.1_ Summary and Results of TEAEs - Neutropenia (PT).xlsx
652,1797,1797,0652_Table 301.3.2001.11.1_ Summary and Results of TEAEs - Thrombocytopenia (PT).xlsx
653,1798,1798,0653_Table 301.3.2001.12.1_ Summary and Results of TEAEs - Cardiac Disorders (SOC).xlsx
654,1799,1799,0654_Table 301.3.2001.13.1_ Summary and Results of TEAEs - Palpitations (PT).xlsx
655,1800,1800,0655_Table 301.3.2001.14.1_ Summary and Results of TEAEs - Tachycardia (PT).xlsx
656,1801,1801,0656_Table 301.3.2001.14.2_ Summary and Results of TEAEs by Subgroups - Tachycardia (PT).xlsx
657,1802,1802,0657_Table 301.3.2001.15.1_ Summary and Results of TEAEs - Ear and Labyrinth Disorders (SOC).xlsx
658,1803,1803,0658_Table 301.3.2001.16.1_ Summary and Results of TEAEs - Tinnitus (PT).xlsx
659,1804,1804,0659_Table 301.3.2001.17.1_ Summary and Results of TEAEs - Endocrine Disorders (SOC).xlsx
660,1805,1805,0660_Table 301.3.2001.18.1_ Summary and Results of TEAEs - Hypothyroidism (PT).xlsx
661,1806,1806,0661_Table 301.3.2001.19.1_ Summary and Results of TEAEs - Eye Disorders (SOC).xlsx
662,1807,1807,0662_Table 301.3.2001.20.1_ Summary and Results of TEAEs - Dry Eye (PT).xlsx
663,1808,1808,0663_Table 301.3.2001.21.1_ Summary and Results of TEAEs - Gastrointestinal Disorders (SOC).xlsx
664,1809,1809,0664_Table 301.3.2001.21.2_ Summary and Results of TEAEs by Subgroups - Gastrointestinal Disorders (SOC).xlsx
665,1810,1810,0665_Table 301.3.2001.22.1_ Summary and Results of TEAEs - Abdominal Discomfort (PT).xlsx
666,1811,1811,0666_Table 301.3.2001.23.1_ Summary and Results of TEAEs - Abdominal Distension (PT).xlsx
667,1812,1812,0667_Table 301.3.2001.24.1_ Summary and Results of TEAEs - Abdominal Pain (PT).xlsx
668,1813,1813,0668_Table 301.3.2001.25.1_ Summary and Results of TEAEs - Abdominal Pain Upper (PT).xlsx
669,1814,1814,0669_Table 301.3.2001.26.1_ Summary and Results of TEAEs - Ascites (PT).xlsx
670,1815,1815,0670_Table 301.3.2001.27.1_ Summary and Results of TEAEs - Constipation (PT).xlsx
671,1816,1816,0671_Table 301.3.2001.28.1_ Summary and Results of TEAEs - Diarrhoea (PT).xlsx
672,1817,1817,0672_Table 301.3.2001.29.1_ Summary and Results of TEAEs - Dry Mouth (PT).xlsx
673,1818,1818,0673_Table 301.3.2001.30.1_ Summary and Results of TEAEs - Dyspepsia (PT).xlsx
674,1819,1819,0674_Table 301.3.2001.31.1_ Summary and Results of TEAEs - Dysphagia (PT).xlsx
675,1820,1820,0675_Table 301.3.2001.32.1_ Summary and Results of TEAEs - Flatulence (PT).xlsx
676,1821,1821,0676_Table 301.3.2001.33.1_ Summary and Results of TEAEs - Gastrooesophageal Reflux Disease (PT).xlsx
677,1822,1822,0677_Table 301.3.2001.34.1_ Summary and Results of TEAEs - Intestinal Obstruction (PT).xlsx
678,1823,1823,0678_Table 301.3.2001.35.1_ Summary and Results of TEAEs - Mouth Ulceration (PT).xlsx
679,1824,1824,0679_Table 301.3.2001.36.1_ Summary and Results of TEAEs - Nausea (PT).xlsx
680,1825,1825,0680_Table 301.3.2001.36.2_ Summary and Results of TEAEs by Subgroups - Nausea (PT).xlsx
681,1826,1826,0681_Table 301.3.2001.37.1_ Summary and Results of TEAEs - Retching (PT).xlsx
682,1827,1827,0682_Table 301.3.2001.38.1_ Summary and Results of TEAEs - Salivary Hypersecretion (PT).xlsx
683,1828,1828,0683_Table 301.3.2001.38.2_ Summary and Results of TEAEs by Subgroups - Salivary Hypersecretion (PT).xlsx
684,1829,1829,0684_Table 301.3.2001.39.1_ Summary and Results of TEAEs - Stomatitis (PT).xlsx
685,1830,1830,0685_Table 301.3.2001.40.1_ Summary and Results of TEAEs - Toothache (PT).xlsx
686,1831,1831,0686_Table 301.3.2001.41.1_ Summary and Results of TEAEs - Vomiting (PT).xlsx
687,1832,1832,0687_Table 301.3.2001.41.2_ Summary and Results of TEAEs by Subgroups - Vomiting (PT).xlsx
688,1833,1833,0688_Table 301.3.2001.42.1_ Summary and Results of TEAEs - General Disorders And Administration Site Conditions (SOC).xlsx
689,1834,1834,0689_Table 301.3.2001.43.1_ Summary and Results of TEAEs - Asthenia (PT).xlsx
690,1835,1835,0690_Table 301.3.2001.44.1_ Summary and Results of TEAEs - Chest Discomfort (PT).xlsx
691,1836,1836,0691_Table 301.3.2001.45.1_ Summary and Results of TEAEs - Chest Pain (PT).xlsx
692,1837,1837,0692_Table 301.3.2001.46.1_ Summary and Results of TEAEs - Chills (PT).xlsx
693,1838,1838,0693_Table 301.3.2001.47.1_ Summary and Results of TEAEs - Fatigue (PT).xlsx
694,1839,1839,0694_Table 301.3.2001.48.1_ Summary and Results of TEAEs - General Physical Health Deterioration (PT).xlsx
695,1840,1840,0695_Table 301.3.2001.49.1_ Summary and Results of TEAEs - Influenza Like Illness (PT).xlsx
696,1841,1841,0696_Table 301.3.2001.50.1_ Summary and Results of TEAEs - Malaise (PT).xlsx
697,1842,1842,0697_Table 301.3.2001.50.2_ Summary and Results of TEAEs by Subgroups - Malaise (PT).xlsx
698,1843,1843,0698_Table 301.3.2001.51.1_ Summary and Results of TEAEs - Mucosal Inflammation (PT).xlsx
699,1844,1844,0699_Table 301.3.2001.52.1_ Summary and Results of TEAEs - Non-Cardiac Chest Pain (PT).xlsx
700,1845,1845,0700_Table 301.3.2001.53.1_ Summary and Results of TEAEs - Oedema (PT).xlsx
701,1846,1846,0701_Table 301.3.2001.54.1_ Summary and Results of TEAEs - Oedema Peripheral (PT).xlsx
702,1847,1847,0702_Table 301.3.2001.54.2_ Summary and Results of TEAEs by Subgroups - Oedema Peripheral (PT).xlsx
703,1848,1848,0703_Table 301.3.2001.55.1_ Summary and Results of TEAEs - Pyrexia (PT).xlsx
704,1849,1849,0704_Table 301.3.2001.56.1_ Summary and Results of TEAEs - Temperature Intolerance (PT).xlsx
705,1850,1850,0705_Table 301.3.2001.57.1_ Summary and Results of TEAEs - Hepatobiliary Disorders (SOC).xlsx
706,1851,1851,0706_Table 301.3.2001.58.1_ Summary and Results of TEAEs - Immune System Disorders (SOC).xlsx
707,1852,1852,0707_Table 301.3.2001.59.1_ Summary and Results of TEAEs - Drug Hypersensitivity (PT).xlsx
708,1853,1853,0708_Table 301.3.2001.60.1_ Summary and Results of TEAEs - Infections And Infestations (SOC).xlsx
709,1854,1854,0709_Table 301.3.2001.61.1_ Summary and Results of TEAEs - Conjunctivitis (PT).xlsx
710,1855,1855,0710_Table 301.3.2001.62.1_ Summary and Results of TEAEs - Covid-19 (PT).xlsx
711,1856,1856,0711_Table 301.3.2001.63.1_ Summary and Results of TEAEs - Nasopharyngitis (PT).xlsx
712,1857,1857,0712_Table 301.3.2001.64.1_ Summary and Results of TEAEs - Oral Candidiasis (PT).xlsx
713,1858,1858,0713_Table 301.3.2001.64.2_ Summary and Results of TEAEs by Subgroups - Oral Candidiasis (PT).xlsx
714,1859,1859,0714_Table 301.3.2001.65.1_ Summary and Results of TEAEs - Pneumonia (PT).xlsx
715,1860,1860,0715_Table 301.3.2001.66.1_ Summary and Results of TEAEs - Urinary Tract Infection (PT).xlsx
716,1861,1861,0716_Table 301.3.2001.67.1_ Summary and Results of TEAEs - Urinary Tract Infection Bacterial (PT).xlsx
717,1862,1862,"0717_Table 301.3.2001.68.1_ Summary and Results of TEAEs - Injury, Poisoning And Procedural Complications (SOC).xlsx"
718,1863,1863,0718_Table 301.3.2001.69.1_ Summary and Results of TEAEs - Fall (PT).xlsx
719,1864,1864,0719_Table 301.3.2001.70.1_ Summary and Results of TEAEs - Infusion Related Reaction (PT).xlsx
720,1865,1865,0720_Table 301.3.2001.71.1_ Summary and Results of TEAEs - Investigations (SOC).xlsx
721,1866,1866,0721_Table 301.3.2001.72.1_ Summary and Results of TEAEs - Alanine Aminotransferase Increased (PT).xlsx
722,1867,1867,0722_Table 301.3.2001.73.1_ Summary and Results of TEAEs - Aspartate Aminotransferase Increased (PT).xlsx
723,1868,1868,0723_Table 301.3.2001.74.1_ Summary and Results of TEAEs - Blood Alkaline Phosphatase Increased (PT).xlsx
724,1869,1869,0724_Table 301.3.2001.75.1_ Summary and Results of TEAEs - Blood Bilirubin Increased (PT).xlsx
725,1870,1870,0725_Table 301.3.2001.75.2_ Summary and Results of TEAEs by Subgroups - Blood Bilirubin Increased (PT).xlsx
726,1871,1871,0726_Table 301.3.2001.76.1_ Summary and Results of TEAEs - Blood Creatinine Increased (PT).xlsx
727,1872,1872,0727_Table 301.3.2001.77.1_ Summary and Results of TEAEs - Electrocardiogram Qt Prolonged (PT).xlsx
728,1873,1873,0728_Table 301.3.2001.78.1_ Summary and Results of TEAEs - Gamma-Glutamyltransferase Increased (PT).xlsx
729,1874,1874,0729_Table 301.3.2001.79.1_ Summary and Results of TEAEs - Lymphocyte Count Decreased (PT).xlsx
730,1875,1875,0730_Table 301.3.2001.80.1_ Summary and Results of TEAEs - Neutrophil Count Decreased (PT).xlsx
731,1876,1876,0731_Table 301.3.2001.81.1_ Summary and Results of TEAEs - Platelet Count Decreased (PT).xlsx
732,1877,1877,0732_Table 301.3.2001.82.1_ Summary and Results of TEAEs - Weight Decreased (PT).xlsx
733,1878,1878,0733_Table 301.3.2001.83.1_ Summary and Results of TEAEs - Weight Increased (PT).xlsx
734,1879,1879,0734_Table 301.3.2001.84.1_ Summary and Results of TEAEs - White Blood Cell Count Decreased (PT).xlsx
735,1880,1880,0735_Table 301.3.2001.85.1_ Summary and Results of TEAEs - Metabolism And Nutrition Disorders (SOC).xlsx
736,1881,1881,0736_Table 301.3.2001.85.2_ Summary and Results of TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC).xlsx
737,1882,1882,0737_Table 301.3.2001.86.1_ Summary and Results of TEAEs - Decreased Appetite (PT).xlsx
738,1883,1883,0738_Table 301.3.2001.86.2_ Summary and Results of TEAEs by Subgroups - Decreased Appetite (PT).xlsx
739,1884,1884,0739_Table 301.3.2001.87.1_ Summary and Results of TEAEs - Dehydration (PT).xlsx
740,1885,1885,0740_Table 301.3.2001.88.1_ Summary and Results of TEAEs - Hyperglycaemia (PT).xlsx
741,1886,1886,0741_Table 301.3.2001.89.1_ Summary and Results of TEAEs - Hyperkalaemia (PT).xlsx
742,1887,1887,0742_Table 301.3.2001.90.1_ Summary and Results of TEAEs - Hypoalbuminaemia (PT).xlsx
743,1888,1888,0743_Table 301.3.2001.90.2_ Summary and Results of TEAEs by Subgroups - Hypoalbuminaemia (PT).xlsx
744,1889,1889,0744_Table 301.3.2001.91.1_ Summary and Results of TEAEs - Hypocalcaemia (PT).xlsx
745,1890,1890,0745_Table 301.3.2001.91.2_ Summary and Results of TEAEs by Subgroups - Hypocalcaemia (PT).xlsx
746,1891,1891,0746_Table 301.3.2001.92.1_ Summary and Results of TEAEs - Hypoglycaemia (PT).xlsx
747,1892,1892,0747_Table 301.3.2001.93.1_ Summary and Results of TEAEs - Hypokalaemia (PT).xlsx
748,1893,1893,0748_Table 301.3.2001.94.1_ Summary and Results of TEAEs - Hypomagnesaemia (PT).xlsx
749,1894,1894,0749_Table 301.3.2001.95.1_ Summary and Results of TEAEs - Hyponatraemia (PT).xlsx
750,1895,1895,0750_Table 301.3.2001.96.1_ Summary and Results of TEAEs - Hypophosphataemia (PT).xlsx
751,1896,1896,0751_Table 301.3.2001.97.1_ Summary and Results of TEAEs - Musculoskeletal And Connective Tissue Disorders (SOC).xlsx
752,1897,1897,0752_Table 301.3.2001.98.1_ Summary and Results of TEAEs - Arthralgia (PT).xlsx
753,1898,1898,0753_Table 301.3.2001.99.1_ Summary and Results of TEAEs - Back Pain (PT).xlsx
754,1899,1899,0754_Table 301.3.2001.100.1_ Summary and Results of TEAEs - Flank Pain (PT).xlsx
755,1900,1900,0755_Table 301.3.2001.100.2_ Summary and Results of TEAEs by Subgroups - Flank Pain (PT).xlsx
756,1901,1901,0756_Table 301.3.2001.101.1_ Summary and Results of TEAEs - Muscular Weakness (PT).xlsx
757,1902,1902,0757_Table 301.3.2001.101.2_ Summary and Results of TEAEs by Subgroups - Muscular Weakness (PT).xlsx
758,1903,1903,0758_Table 301.3.2001.102.1_ Summary and Results of TEAEs - Musculoskeletal Chest Pain (PT).xlsx
759,1904,1904,0759_Table 301.3.2001.103.1_ Summary and Results of TEAEs - Myalgia (PT).xlsx
760,1905,1905,0760_Table 301.3.2001.104.1_ Summary and Results of TEAEs - Pain In Extremity (PT).xlsx
761,1906,1906,"0761_Table 301.3.2001.105.1_ Summary and Results of TEAEs - Neoplasms Benign, Malignant And Unspecified (Incl Cysts And Polyps) (SOC).xlsx"
762,1907,1907,0762_Table 301.3.2001.106.1_ Summary and Results of TEAEs - Malignant Neoplasm Progression (PT).xlsx
763,1908,1908,0763_Table 301.3.2001.107.1_ Summary and Results of TEAEs - Nervous System Disorders (SOC).xlsx
764,1909,1909,0764_Table 301.3.2001.108.1_ Summary and Results of TEAEs - Dizziness (PT).xlsx
765,1910,1910,0765_Table 301.3.2001.109.1_ Summary and Results of TEAEs - Dysaesthesia (PT).xlsx
766,1911,1911,0766_Table 301.3.2001.110.1_ Summary and Results of TEAEs - Dysgeusia (PT).xlsx
767,1912,1912,0767_Table 301.3.2001.111.1_ Summary and Results of TEAEs - Headache (PT).xlsx
768,1913,1913,0768_Table 301.3.2001.112.1_ Summary and Results of TEAEs - Hypoaesthesia (PT).xlsx
769,1914,1914,0769_Table 301.3.2001.113.1_ Summary and Results of TEAEs - Neuropathy Peripheral (PT).xlsx
770,1915,1915,0770_Table 301.3.2001.114.1_ Summary and Results of TEAEs - Neurotoxicity (PT).xlsx
771,1916,1916,0771_Table 301.3.2001.115.1_ Summary and Results of TEAEs - Paraesthesia (PT).xlsx
772,1917,1917,0772_Table 301.3.2001.116.1_ Summary and Results of TEAEs - Peripheral Motor Neuropathy (PT).xlsx
773,1918,1918,0773_Table 301.3.2001.117.1_ Summary and Results of TEAEs - Peripheral Sensory Neuropathy (PT).xlsx
774,1919,1919,0774_Table 301.3.2001.118.1_ Summary and Results of TEAEs - Syncope (PT).xlsx
775,1920,1920,0775_Table 301.3.2001.119.1_ Summary and Results of TEAEs - Taste Disorder (PT).xlsx
776,1921,1921,0776_Table 301.3.2001.120.1_ Summary and Results of TEAEs - Psychiatric Disorders (SOC).xlsx
777,1922,1922,0777_Table 301.3.2001.121.1_ Summary and Results of TEAEs - Anxiety (PT).xlsx
778,1923,1923,0778_Table 301.3.2001.122.1_ Summary and Results of TEAEs - Depression (PT).xlsx
779,1924,1924,0779_Table 301.3.2001.123.1_ Summary and Results of TEAEs - Insomnia (PT).xlsx
780,1925,1925,0780_Table 301.3.2001.124.1_ Summary and Results of TEAEs - Renal And Urinary Disorders (SOC).xlsx
781,1926,1926,0781_Table 301.3.2001.125.1_ Summary and Results of TEAEs - Dysuria (PT).xlsx
782,1927,1927,0782_Table 301.3.2001.125.2_ Summary and Results of TEAEs by Subgroups - Dysuria (PT).xlsx
783,1928,1928,0783_Table 301.3.2001.126.1_ Summary and Results of TEAEs - Haematuria (PT).xlsx
784,1929,1929,0784_Table 301.3.2001.127.1_ Summary and Results of TEAEs - Proteinuria (PT).xlsx
785,1930,1930,0785_Table 301.3.2001.128.1_ Summary and Results of TEAEs - Reproductive System And Breast Disorders (SOC).xlsx
786,1931,1931,"0786_Table 301.3.2001.129.1_ Summary and Results of TEAEs - Respiratory, Thoracic And Mediastinal Disorders (SOC).xlsx"
787,1932,1932,0787_Table 301.3.2001.130.1_ Summary and Results of TEAEs - Cough (PT).xlsx
788,1933,1933,0788_Table 301.3.2001.131.1_ Summary and Results of TEAEs - Dyspnoea (PT).xlsx
789,1934,1934,0789_Table 301.3.2001.132.1_ Summary and Results of TEAEs - Epistaxis (PT).xlsx
790,1935,1935,0790_Table 301.3.2001.133.1_ Summary and Results of TEAEs - Hiccups (PT).xlsx
791,1936,1936,0791_Table 301.3.2001.134.1_ Summary and Results of TEAEs - Oropharyngeal Pain (PT).xlsx
792,1937,1937,0792_Table 301.3.2001.134.2_ Summary and Results of TEAEs by Subgroups - Oropharyngeal Pain (PT).xlsx
793,1938,1938,0793_Table 301.3.2001.135.1_ Summary and Results of TEAEs - Pleural Effusion (PT).xlsx
794,1939,1939,0794_Table 301.3.2001.136.1_ Summary and Results of TEAEs - Productive Cough (PT).xlsx
795,1940,1940,0795_Table 301.3.2001.137.1_ Summary and Results of TEAEs - Pulmonary Embolism (PT).xlsx
796,1941,1941,0796_Table 301.3.2001.138.1_ Summary and Results of TEAEs - Rhinorrhoea (PT).xlsx
797,1942,1942,0797_Table 301.3.2001.139.1_ Summary and Results of TEAEs - Skin And Subcutaneous Tissue Disorders (SOC).xlsx
798,1943,1943,0798_Table 301.3.2001.140.1_ Summary and Results of TEAEs - Alopecia (PT).xlsx
799,1944,1944,0799_Table 301.3.2001.141.1_ Summary and Results of TEAEs - Dry Skin (PT).xlsx
800,1945,1945,0800_Table 301.3.2001.142.1_ Summary and Results of TEAEs - Erythema (PT).xlsx
801,1946,1946,0801_Table 301.3.2001.143.1_ Summary and Results of TEAEs - Hyperhidrosis (PT).xlsx
802,1947,1947,0802_Table 301.3.2001.144.1_ Summary and Results of TEAEs - Palmar-Plantar Erythrodysaesthesia Syndrome (PT).xlsx
803,1948,1948,0803_Table 301.3.2001.145.1_ Summary and Results of TEAEs - Pruritus (PT).xlsx
804,1949,1949,0804_Table 301.3.2001.146.1_ Summary and Results of TEAEs - Rash (PT).xlsx
805,1950,1950,0805_Table 301.3.2001.147.1_ Summary and Results of TEAEs - Rash Maculo-Papular (PT).xlsx
806,1951,1951,0806_Table 301.3.2001.148.1_ Summary and Results of TEAEs - Urticaria (PT).xlsx
807,1952,1952,0807_Table 301.3.2001.149.1_ Summary and Results of TEAEs - Vascular Disorders (SOC).xlsx
808,1953,1953,0808_Table 301.3.2001.150.1_ Summary and Results of TEAEs - Deep Vein Thrombosis (PT).xlsx
809,1954,1954,0809_Table 301.3.2001.151.1_ Summary and Results of TEAEs - Flushing (PT).xlsx
810,1955,1955,0810_Table 301.3.2001.152.1_ Summary and Results of TEAEs - Hot Flush (PT).xlsx
811,1956,1956,0811_Table 301.3.2001.153.1_ Summary and Results of TEAEs - Hypertension (PT).xlsx
812,1957,1957,0812_Table 301.3.2001.154.1_ Summary and Results of TEAEs - Hypotension (PT).xlsx
813,2112,2112,0813_Table 301.3.2001.178.1_ Summary and Results of Severe TEAEs - Blood and Lymphatic System Disorders (SOC).xlsx
814,2113,2113,0814_Table 301.3.2001.179.1_ Summary and Results of Severe TEAEs - Anaemia (PT).xlsx
815,2114,2114,0815_Table 301.3.2001.180.1_ Summary and Results of Severe TEAEs - Leukopenia (PT).xlsx
816,2115,2115,0816_Table 301.3.2001.181.1_ Summary and Results of Severe TEAEs - Neutropenia (PT).xlsx
817,2116,2116,0817_Table 301.3.2001.182.1_ Summary and Results of Severe TEAEs - Gastrointestinal Disorders (SOC).xlsx
818,2117,2117,0818_Table 301.3.2001.182.2_ Summary and Results of Severe TEAEs by Subgroups - Gastrointestinal Disorders (SOC).xlsx
819,2118,2118,0819_Table 301.3.2001.183.1_ Summary and Results of Severe TEAEs - Abdominal Pain (PT).xlsx
820,2119,2119,0820_Table 301.3.2001.184.1_ Summary and Results of Severe TEAEs - Diarrhoea (PT).xlsx
821,2120,2120,0821_Table 301.3.2001.185.1_ Summary and Results of Severe TEAEs - Dysphagia (PT).xlsx
822,2121,2121,0822_Table 301.3.2001.186.1_ Summary and Results of Severe TEAEs - Intestinal Obstruction (PT).xlsx
823,2122,2122,0823_Table 301.3.2001.187.1_ Summary and Results of Severe TEAEs - Nausea (PT).xlsx
824,2123,2123,0824_Table 301.3.2001.187.2_ Summary and Results of Severe TEAEs by Subgroups - Nausea (PT).xlsx
825,2124,2124,0825_Table 301.3.2001.188.1_ Summary and Results of Severe TEAEs - Stomatitis (PT).xlsx
826,2125,2125,0826_Table 301.3.2001.189.1_ Summary and Results of Severe TEAEs - Vomiting (PT).xlsx
827,2126,2126,0827_Table 301.3.2001.189.2_ Summary and Results of Severe TEAEs by Subgroups - Vomiting (PT).xlsx
828,2127,2127,0828_Table 301.3.2001.190.1_ Summary and Results of Severe TEAEs - General Disorders And Administration Site Conditions (SOC).xlsx
829,2128,2128,0829_Table 301.3.2001.191.1_ Summary and Results of Severe TEAEs - Asthenia (PT).xlsx
830,2129,2129,0830_Table 301.3.2001.191.2_ Summary and Results of Severe TEAEs by Subgroups - Asthenia (PT).xlsx
831,2130,2130,0831_Table 301.3.2001.192.1_ Summary and Results of Severe TEAEs - Fatigue (PT).xlsx
832,2131,2131,0832_Table 301.3.2001.193.1_ Summary and Results of Severe TEAEs - Hepatobiliary Disorders (SOC).xlsx
833,2132,2132,0833_Table 301.3.2001.194.1_ Summary and Results of Severe TEAEs - Infections And Infestations (SOC).xlsx
834,2133,2133,0834_Table 301.3.2001.195.1_ Summary and Results of Severe TEAEs - Pneumonia (PT).xlsx
835,2134,2134,"0835_Table 301.3.2001.196.1_ Summary and Results of Severe TEAEs - Injury, Poisoning And Procedural Complications (SOC).xlsx"
836,2135,2135,0836_Table 301.3.2001.197.1_ Summary and Results of Severe TEAEs - Investigations (SOC).xlsx
837,2136,2136,0837_Table 301.3.2001.198.1_ Summary and Results of Severe TEAEs - Alanine Aminotransferase Increased (PT).xlsx
838,2137,2137,0838_Table 301.3.2001.198.2_ Summary and Results of Severe TEAEs by Subgroups - Alanine Aminotransferase Increased (PT).xlsx
839,2138,2138,0839_Table 301.3.2001.199.1_ Summary and Results of Severe TEAEs - Aspartate Aminotransferase Increased (PT).xlsx
840,2139,2139,0840_Table 301.3.2001.200.1_ Summary and Results of Severe TEAEs - Neutrophil Count Decreased (PT).xlsx
841,2140,2140,0841_Table 301.3.2001.201.1_ Summary and Results of Severe TEAEs - White Blood Cell Count Decreased (PT).xlsx
842,2141,2141,0842_Table 301.3.2001.202.1_ Summary and Results of Severe TEAEs - Metabolism And Nutrition Disorders (SOC).xlsx
843,2142,2142,0843_Table 301.3.2001.202.2_ Summary and Results of Severe TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC).xlsx
844,2143,2143,0844_Table 301.3.2001.203.1_ Summary and Results of Severe TEAEs - Decreased Appetite (PT).xlsx
845,2144,2144,0845_Table 301.3.2001.204.1_ Summary and Results of Severe TEAEs - Hypoalbuminaemia (PT).xlsx
846,2145,2145,0846_Table 301.3.2001.204.2_ Summary and Results of Severe TEAEs by Subgroups - Hypoalbuminaemia (PT).xlsx
847,2146,2146,0847_Table 301.3.2001.205.1_ Summary and Results of Severe TEAEs - Hypokalaemia (PT).xlsx
848,2147,2147,0848_Table 301.3.2001.206.1_ Summary and Results of Severe TEAEs - Hypophosphataemia (PT).xlsx
849,2148,2148,"0849_Table 301.3.2001.207.1_ Summary and Results of Severe TEAEs - Neoplasms Benign, Malignant And Unspecified (Incl Cysts And Polyps) (SOC).xlsx"
850,2149,2149,0850_Table 301.3.2001.208.1_ Summary and Results of Severe TEAEs - Malignant Neoplasm Progression (PT).xlsx
851,2150,2150,0851_Table 301.3.2001.209.1_ Summary and Results of Severe TEAEs - Nervous System Disorders (SOC).xlsx
852,2151,2151,0852_Table 301.3.2001.210.1_ Summary and Results of Severe TEAEs - Paraesthesia (PT).xlsx
853,2152,2152,0853_Table 301.3.2001.211.1_ Summary and Results of Severe TEAEs - Peripheral Sensory Neuropathy (PT).xlsx
854,2153,2153,0854_Table 301.3.2001.212.1_ Summary and Results of Severe TEAEs - Syncope (PT).xlsx
855,2154,2154,"0855_Table 301.3.2001.213.1_ Summary and Results of Severe TEAEs - Respiratory, Thoracic And Mediastinal Disorders (SOC).xlsx"
856,2155,2155,0856_Table 301.3.2001.214.1_ Summary and Results of Severe TEAEs - Pulmonary Embolism (PT).xlsx
857,2156,2156,0857_Table 301.3.2001.215.1_ Summary and Results of Severe TEAEs - Vascular Disorders (SOC).xlsx
858,2157,2157,0858_Table 301.3.2001.216.1_ Summary and Results of Severe TEAEs - Hypertension (PT).xlsx
859,2201,2201,0859_Table 301.3.2001.155.1_ Summary and Results of TESAEs - Blood and Lymphatic System Disorders (SOC).xlsx
860,2202,2202,0860_Table 301.3.2001.156.1_ Summary and Results of TESAEs - Cardiac Disorders (SOC).xlsx
861,2203,2203,0861_Table 301.3.2001.157.1_ Summary and Results of TESAEs - Gastrointestinal Disorders (SOC).xlsx
862,2204,2204,0862_Table 301.3.2001.158.1_ Summary and Results of TESAEs - Abdominal Pain (PT).xlsx
863,2205,2205,0863_Table 301.3.2001.159.1_ Summary and Results of TESAEs - Diarrhoea (PT).xlsx
864,2206,2206,0864_Table 301.3.2001.160.1_ Summary and Results of TESAEs - Intestinal Obstruction (PT).xlsx
865,2207,2207,0865_Table 301.3.2001.161.1_ Summary and Results of TESAEs - Nausea (PT).xlsx
866,2208,2208,0866_Table 301.3.2001.162.1_ Summary and Results of TESAEs - Vomiting (PT).xlsx
